"Time","Voltage [V]","Current [uA]","Pressure [Pa]","VSR53USB [Pa]"
"2024-11-20 15:30:01.974","-0.07482399999999245","0.005639999999999645","160.00","256.98"
"2024-11-20 15:30:00.974","-0.07482399999999245","0.005639999999999645","160.00","256.58"
"2024-11-20 15:29:59.974","-0.07482399999999245","0.005639999999999645","160.00","256.43"
"2024-11-20 15:29:58.974","-0.07482399999999245","0.005639999999999645","160.00","256.22"
"2024-11-20 15:29:57.974","-0.07482399999999245","0.005639999999999645","160.00","255.91"
"2024-11-20 15:29:56.974","-0.07482399999999245","0.005639999999999645","160.00","255.67"
"2024-11-20 15:29:55.974","-0.07482399999999245","0.005639999999999645","160.00","255.42"
"2024-11-20 15:29:54.974","-0.07482399999999245","0.005639999999999645","160.00","254.92"
"2024-11-20 15:29:53.974","-0.07482399999999245","0.005639999999999645","160.00","254.82"
"2024-11-20 15:29:52.974","-0.07482399999999245","0.005639999999999645","160.00","254.57"
"2024-11-20 15:29:51.974","-4.301639999999992","-11.778023999999998","0.00","254.22"
"2024-11-20 15:29:51.972","-7.471751999999988","-9.486756","0.00","254.22"
"2024-11-20 15:29:51.970","-11.302303999999992","-14.723939999999999","0.00","254.22"
"2024-11-20 15:29:51.968","-14.340327999999992","-11.778023999999998","0.00","254.22"
"2024-11-20 15:29:51.966","-18.699231999999995","-16.687884","0.00","254.22"
"2024-11-20 15:29:51.964","-21.605167999999992","-12.759996000000001","0.00","254.22"
"2024-11-20 15:29:51.962","-26.09615999999999","-17.342532","0.00","254.22"
"2024-11-20 15:29:51.960","-29.002095999999995","-12.432672","0.00","254.22"
"2024-11-20 15:29:51.958","-33.36099999999999","-16.687884","0.00","254.22"
"2024-11-20 15:29:51.956","-32.304295999999994","-12.759996000000001","0.00","254.22"
"2024-11-20 15:29:51.954","-30.05879999999999","-16.36056","0.00","254.22"
"2024-11-20 15:29:51.952","-25.83198399999999","-12.759996000000001","0.00","254.22"
"2024-11-20 15:29:51.950","-23.71857599999999","-16.687884","0.00","254.22"
"2024-11-20 15:29:51.948","-19.623847999999988","-14.069292","0.00","254.22"
"2024-11-20 15:29:51.946","-17.774615999999995","-17.342532","0.00","254.22"
